instance,ms_*,gap_*,ms_avg,gap_avg
abz5,1524,16.45,1610.9,31.531
abz6,1372,41.57,1449.7,52.723
abz7,1141,79.73,1203.6,85.885
abz8,1302,104.5,1366.8,115.427
abz9,1262,81.54,1305.3,93.388
ft06,58,5.45,61.8,18.725
ft10,1642,76.56,1862.3,105.968
ft20,2355,51.07,2737.5,117.383
la01,933,50.3,1070.6,66.394
la02,906,26.11,1126.7,65.271
la03,674,27.3,801.5,37.321
la04,889,31.36,1057.8,62.29
la05,745,14.17,803.7,28.684
la06,1153,42.87,1526.6,67.538
la07,1194,44.38,1478.1,81.47
la08,1267,41.14,1577.2,72.921
la09,1334,32.7,1665.4,70.557
la10,1115,10.44,1347.8,37.068
la11,1765,41.65,2019,71.438
la12,1333,44.37,1969.4,71.53
la13,1970,41.39,2424.1,89.358
la14,1705,31.04,1981.9,55.163
la15,1867,56.92,2247.4,81.98
la16,1449,53.33,1457.4,53.922
la17,1074,36.22,1084.7,38.034
la18,1086,35.61,1187.3,43.914
la19,1153,45.01,1299.7,56.944
la20,1489,61.75,1509.7,69.679
la21,1793,70.27,2070.3,91.367
la22,1546,66.77,1707.2,85.123
la23,1828,70.64,1930.3,82.276
la24,1678,74.12,1868.2,93.071
la25,1654,76.87,1854.8,90.081
la26,2336,90.8,2513.8,112.776
la27,2386,89.72,2668.4,116.908
la28,2337,102.06,2621.6,121.036
la29,2434,101.13,2688.8,128.272
la30,2137,66.94,2396.9,82.437
la31,3596,84.3,3691,103.413
la32,3698,105.35,4022.3,124.39
la33,2987,71.26,3108.8,83.128
la34,3390,119.35,4278.8,137.972
la35,3713,89.78,4269.6,117.368
la36,1998,54.81,2100.2,64.691
la37,2265,60.06,2431.7,72.004
la38,1856,57.94,1954.4,63.295
la39,1866,57.5,2007.6,64.257
la40,2082,60.8,2230,79.648
orb01,1712,61.66,1804.7,75.808
orb02,1410,58.78,1436.4,61.835
orb03,2498,148.96,2643.4,165.632
orb04,1286,41.29,1440.9,48.07
orb05,1970,135.06,2170.5,145.162
orb06,1807,78.91,1886.9,91.673
orb07,648,65.74,661,67.756
orb08,2258,164.29,2404.4,173.734
orb09,1413,46.04,1527.5,60.812
orb10,2334,147.25,2419.9,157.936
swv01,3803,167.02,4119.2,192.303
swv02,3618,145.29,3939.5,169.41
swv03,3601,151.94,3899.9,183.761
swv04,4371,186.34,4647.6,201.33
swv05,3831,195.44,4381.6,215.552
swv06,4176,162.48,4514.6,180.761
swv07,3830,158.02,4006.7,174.067
swv08,4505,174.63,4805.1,194.62
swv09,4926,208.79,5092.4,222.968
swv10,4714,183.45,4819.8,192.035
swv11,10762,273.75,11379.2,286.413
swv12,10500,261.81,10881.7,269.404
swv13,10927,245.39,11409.9,267.809
swv14,11659,280.02,12176.9,307.26
swv15,11211,287.76,11851.4,309.527
